,Symbol,Open,High,Low,Close,PrevClose,DateTime,Date,Time
49,AAPL,250.18,250.35,250.048,250.29,250.18,2020-04-06 08:36:00,2020-04-06,08:36:00
50,AAPL,250.3,250.36,250.0,250.04,250.29,2020-04-06 08:36:00,2020-04-06,08:36:00
51,AAPL,250.055,250.18,249.96,250.14,250.04,2020-04-06 08:37:00,2020-04-06,08:37:00
52,AAPL,250.14,250.14,249.7701,249.9282,250.14,2020-04-06 08:37:00,2020-04-06,08:37:00
53,AAPL,249.9,249.9,249.6,249.635,249.9282,2020-04-06 08:37:00,2020-04-06,08:37:00
54,AAPL,249.65,249.79,249.54,249.79,249.635,2020-04-06 08:37:00,2020-04-06,08:37:00
55,AAPL,249.78,249.89,249.6701,249.77,249.79,2020-04-06 08:37:00,2020-04-06,08:37:00
56,AAPL,249.84,249.85,249.7,249.8088,249.77,2020-04-06 08:38:00,2020-04-06,08:38:00
57,AAPL,249.8,249.94,249.78,249.8402,249.8088,2020-04-06 08:38:00,2020-04-06,08:38:00
58,AAPL,249.87,250.0,249.87,250.0,249.8402,2020-04-06 08:38:00,2020-04-06,08:38:00
59,AAPL,250.0,250.1,249.82,249.88,250.0,2020-04-06 08:38:00,2020-04-06,08:38:00
60,AAPL,249.88,249.915,249.38,249.38,249.88,2020-04-06 08:38:00,2020-04-06,08:38:00
61,AAPL,249.41,249.7,249.41,249.57,249.38,2020-04-06 08:39:00,2020-04-06,08:39:00
62,AAPL,249.57,249.83,249.5,249.7,249.57,2020-04-06 08:39:00,2020-04-06,08:39:00
63,AAPL,249.7,249.95,249.68,249.86,249.7,2020-04-06 08:39:00,2020-04-06,08:39:00
64,AAPL,249.89,250.01,249.81,250.01,249.86,2020-04-06 08:39:00,2020-04-06,08:39:00
65,AAPL,250.01,250.01,249.92,249.98,250.01,2020-04-06 08:40:00,2020-04-06,08:40:00
66,AAPL,249.99,250.21,249.9653,250.19,249.98,2020-04-06 08:40:00,2020-04-06,08:40:00
67,AAPL,250.18,250.23,250.02,250.1499,250.19,2020-04-06 08:40:00,2020-04-06,08:40:00
68,AAPL,250.1499,250.3,250.1499,250.23,250.1499,2020-04-06 08:40:00,2020-04-06,08:40:00
69,AAPL,250.24,250.4,250.195,250.3,250.23,2020-04-06 08:40:00,2020-04-06,08:40:00
70,AAPL,250.31,250.35,250.23,250.27,250.3,2020-04-06 08:40:00,2020-04-06,08:40:00
71,AAPL,250.27,250.34,250.1,250.232,250.27,2020-04-06 08:41:00,2020-04-06,08:41:00
72,AAPL,250.23,250.265,250.09,250.2039,250.232,2020-04-06 08:41:00,2020-04-06,08:41:00
73,AAPL,250.21,250.3,250.14,250.26,250.2039,2020-04-06 08:41:00,2020-04-06,08:41:00
74,AAPL,250.26,250.285,250.0201,250.16,250.26,2020-04-06 08:41:00,2020-04-06,08:41:00
75,AAPL,250.17,250.3,250.115,250.3,250.16,2020-04-06 08:42:00,2020-04-06,08:42:00
76,AAPL,250.29,250.5,250.27,250.5,250.3,2020-04-06 08:42:00,2020-04-06,08:42:00
77,AAPL,250.5,250.6,250.45,250.58,250.5,2020-04-06 08:42:00,2020-04-06,08:42:00
78,AAPL,250.5992,250.65,250.47,250.62,250.58,2020-04-06 08:42:00,2020-04-06,08:42:00
79,AAPL,250.63,250.77,250.545,250.67,250.62,2020-04-06 08:43:00,2020-04-06,08:43:00
80,AAPL,250.67,250.85,250.6256,250.8024,250.67,2020-04-06 08:43:00,2020-04-06,08:43:00
81,AAPL,250.8024,250.85,250.7,250.79,250.8024,2020-04-06 08:43:00,2020-04-06,08:43:00
82,AAPL,250.79,250.92,250.79,250.79,250.79,2020-04-06 08:43:00,2020-04-06,08:43:00
83,AAPL,250.79,250.8344,250.64,250.7,250.79,2020-04-06 08:44:00,2020-04-06,08:44:00
84,AAPL,250.76,250.77,250.58,250.76,250.7,2020-04-06 08:44:00,2020-04-06,08:44:00
85,AAPL,250.76,250.83,250.6227,250.83,250.76,2020-04-06 08:44:00,2020-04-06,08:44:00
86,AAPL,250.83,250.96,250.77,250.94,250.83,2020-04-06 08:45:00,2020-04-06,08:45:00
87,AAPL,250.96,251.0,250.93900000000002,251.0,250.94,2020-04-06 08:45:00,2020-04-06,08:45:00
88,AAPL,251.0,251.04,250.85,250.9062,251.0,2020-04-06 08:45:00,2020-04-06,08:45:00
89,AAPL,250.91,251.02,250.8101,250.97,250.9062,2020-04-06 08:45:00,2020-04-06,08:45:00
90,AAPL,250.989,251.0,250.85,250.97,250.97,2020-04-06 08:45:00,2020-04-06,08:45:00
91,AAPL,250.98,251.02,250.82,251.01,250.97,2020-04-06 08:45:00,2020-04-06,08:45:00
92,AAPL,251.04,251.04,250.88,250.98,251.01,2020-04-06 08:45:00,2020-04-06,08:45:00
93,AAPL,250.98,251.03,250.92,250.99,250.98,2020-04-06 08:46:00,2020-04-06,08:46:00
94,AAPL,251.0,251.11,250.955,251.11,250.99,2020-04-06 08:46:00,2020-04-06,08:46:00
95,AAPL,251.11,251.1676,251.0,251.05,251.11,2020-04-06 08:46:00,2020-04-06,08:46:00
96,AAPL,251.06,251.2,250.97,251.15,251.05,2020-04-06 08:46:00,2020-04-06,08:46:00
97,AAPL,251.15,251.19,251.1,251.15,251.15,2020-04-06 08:46:00,2020-04-06,08:46:00
98,AAPL,251.16,251.33,251.15,251.31,251.15,2020-04-06 08:47:00,2020-04-06,08:47:00
99,AAPL,251.29,251.47,251.2336,251.454,251.31,2020-04-06 08:47:00,2020-04-06,08:47:00
100,AAPL,251.43,251.48,251.3421,251.37,251.454,2020-04-06 08:47:00,2020-04-06,08:47:00
101,AAPL,251.37,251.49,251.3582,251.3701,251.37,2020-04-06 08:47:00,2020-04-06,08:47:00
102,AAPL,251.3875,251.57,251.37,251.54,251.3701,2020-04-06 08:47:00,2020-04-06,08:47:00
103,AAPL,251.54,251.75,251.515,251.66,251.54,2020-04-06 08:47:00,2020-04-06,08:47:00
104,AAPL,251.67,251.85,251.6301,251.83,251.66,2020-04-06 08:48:00,2020-04-06,08:48:00
105,AAPL,251.83,251.92,251.78,251.92,251.83,2020-04-06 08:48:00,2020-04-06,08:48:00
106,AAPL,251.919,252.0,251.9073,252.0,251.92,2020-04-06 08:48:00,2020-04-06,08:48:00
107,AAPL,252.0,252.0,251.96,251.9704,252.0,2020-04-06 08:48:00,2020-04-06,08:48:00
108,AAPL,251.9704,252.0,251.795,251.795,251.9704,2020-04-06 08:48:00,2020-04-06,08:48:00
109,AAPL,251.795,251.93,251.7201,251.8,251.795,2020-04-06 08:48:00,2020-04-06,08:48:00
110,AAPL,251.79,252.0,251.7335,251.96,251.8,2020-04-06 08:48:00,2020-04-06,08:48:00
111,AAPL,251.97,252.0,251.94,251.96,251.96,2020-04-06 08:48:00,2020-04-06,08:48:00
112,AAPL,251.96,251.99,251.88,251.8901,251.96,2020-04-06 08:48:00,2020-04-06,08:48:00
113,AAPL,251.8917,252.0,251.83,252.0,251.8901,2020-04-06 08:48:00,2020-04-06,08:48:00
114,AAPL,252.0,252.09,251.94,251.98,252.0,2020-04-06 08:49:00,2020-04-06,08:49:00
115,AAPL,251.98,252.12,251.9201,251.9201,251.98,2020-04-06 08:49:00,2020-04-06,08:49:00
116,AAPL,251.9346,252.06,251.9346,252.04,251.9201,2020-04-06 08:49:00,2020-04-06,08:49:00
117,AAPL,252.045,252.065,251.92,251.92,252.04,2020-04-06 08:49:00,2020-04-06,08:49:00
118,AAPL,251.93,251.93,251.76,251.8,251.92,2020-04-06 08:49:00,2020-04-06,08:49:00
119,AAPL,251.8077,252.08,251.8077,252.08,251.8,2020-04-06 08:49:00,2020-04-06,08:49:00
